city,zip_code,longitude,latitude,city_id
Rochester,98579,-123.08743,46.82175,1400159338497
Rock Island,98850,-120.14545,47.37163,910533066754
Rockford,99030,-117.13261,47.45227,335007449090
Rockport,98283,-121.59274,48.48758,1245540515848
Ronald,98940,-121.02627,47.23781,1425929142274
Roosevelt,98620,-120.82545,45.823,1657857376259
Roosevelt,99356,-120.20117,45.74956,755914244100
Rosalia,99170,-117.37046,47.23445,1623497637891
Rosburg,98643,-123.6386,46.33397,755914244099
Roslyn,98940,-121.02627,47.23781,1408749273093
Roslyn,98941,-120.99607,47.22593,584115552256
Roy,98580,-122.54332,47.00328,1168231104515
Royal City,99357,-119.63136,46.90248,1039382085633
